date_id,year,month,day,day_of_week,day_name,month_name,quarter
2020-01-01,2020,1,1,2,Wednesday,January,1
2020-01-02,2020,1,2,3,Thursday,January,1
2020-01-03,2020,1,3,4,Friday,January,1
2020-01-04,2020,1,4,5,Saturday,January,1
2020-01-05,2020,1,5,6,Sunday,January,1
2020-01-06,2020,1,6,0,Monday,January,1
2020-01-07,2020,1,7,1,Tuesday,January,1
2020-01-08,2020,1,8,2,Wednesday,January,1
2020-01-09,2020,1,9,3,Thursday,January,1
2020-01-10,2020,1,10,4,Friday,January,1
2020-01-11,2020,1,11,5,Saturday,January,1
2020-01-12,2020,1,12,6,Sunday,January,1
2020-01-13,2020,1,13,0,Monday,January,1
2020-01-14,2020,1,14,1,Tuesday,January,1
2020-01-15,2020,1,15,2,Wednesday,January,1
2020-01-16,2020,1,16,3,Thursday,January,1
2020-01-17,2020,1,17,4,Friday,January,1
2020-01-18,2020,1,18,5,Saturday,January,1
2020-01-19,2020,1,19,6,Sunday,January,1
2020-01-20,2020,1,20,0,Monday,January,1
2020-01-21,2020,1,21,1,Tuesday,January,1
2020-01-22,2020,1,22,2,Wednesday,January,1
2020-01-23,2020,1,23,3,Thursday,January,1
2020-01-24,2020,1,24,4,Friday,January,1
2020-01-25,2020,1,25,5,Saturday,January,1
2020-01-26,2020,1,26,6,Sunday,January,1
2020-01-27,2020,1,27,0,Monday,January,1
2020-01-28,2020,1,28,1,Tuesday,January,1
2020-01-29,2020,1,29,2,Wednesday,January,1
2020-01-30,2020,1,30,3,Thursday,January,1
2020-01-31,2020,1,31,4,Friday,January,1
2020-02-01,2020,2,1,5,Saturday,February,1
2020-02-02,2020,2,2,6,Sunday,February,1
2020-02-03,2020,2,3,0,Monday,February,1
2020-02-04,2020,2,4,1,Tuesday,February,1
2020-02-05,2020,2,5,2,Wednesday,February,1
2020-02-06,2020,2,6,3,Thursday,February,1
2020-02-07,2020,2,7,4,Friday,February,1
2020-02-08,2020,2,8,5,Saturday,February,1
